time,s0,s1,s2,s3,w01,w02,w03,w10,w12,w13,w20,w21,w23,w30,w31,w32
09:52:01.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:01.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:01.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:02.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:02.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:03.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:03.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:03.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:04.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:04.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:05.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:05.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:05.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:06.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:06.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:07.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:07.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:07.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:08.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:08.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:09.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:09.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:09.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:52:29.4,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
09:52:29.8,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
09:52:30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
