time,down,right,up,left
09:51:29.7,False,False,False,False
09:51:29.8,False,False,False,False
09:51:29.9,False,False,False,False
09:51:30.0,False,False,False,False
09:51:30.1,False,False,False,False
09:51:30.2,False,False,False,False
09:51:30.3,False,False,False,False
09:51:30.4,False,False,False,False
09:51:30.5,False,False,False,False
09:51:30.6,False,False,False,False
09:51:30.7,False,False,False,False
09:51:30.8,False,False,False,False
09:51:30.9,False,False,False,False
09:51:31.0,False,False,False,False
09:51:31.1,False,False,False,False
09:51:31.2,False,False,False,False
09:51:31.3,False,False,False,False
09:51:31.4,False,False,False,False
09:51:31.5,False,False,False,False
09:51:31.6,False,False,False,False
09:51:31.7,False,False,False,False
09:51:31.8,False,False,False,False
09:51:31.9,False,False,False,False
09:51:32.0,False,False,False,False
09:51:32.1,False,False,False,False
09:51:32.2,False,False,False,False
09:51:32.3,False,False,False,False
09:51:32.4,False,False,False,False
09:51:32.5,False,False,False,False
09:51:32.6,False,False,False,False
09:51:32.7,False,False,False,False
09:51:32.8,False,False,False,False
09:51:32.9,False,False,False,False
09:51:33.0,False,False,False,False
09:51:33.1,False,False,False,False
09:51:33.2,False,False,False,False
09:51:33.3,False,False,False,False
09:51:33.4,False,False,False,False
09:51:33.5,False,False,False,False
09:51:33.6,False,False,False,False
09:51:33.7,False,False,False,False
09:51:33.8,False,False,False,False
09:51:33.9,False,False,False,False
09:51:34.0,False,False,False,False
09:51:34.1,False,False,False,False
09:51:34.2,False,False,False,False
09:51:34.3,False,False,False,False
09:51:34.4,False,False,False,False
09:51:34.5,False,False,False,False
09:51:34.6,False,False,False,False
09:51:34.7,False,False,False,False
09:51:34.8,False,False,False,False
09:51:34.9,False,False,False,False
09:51:35.0,False,False,False,False
09:51:35.1,False,False,False,False
09:51:35.2,False,False,False,False
09:51:35.3,False,False,False,False
09:51:35.4,False,False,False,False
09:51:35.5,False,False,False,False
09:51:35.6,False,False,False,False
09:51:35.7,False,False,False,False
09:51:35.8,False,False,False,False
09:51:35.9,False,False,False,False
09:51:36.0,False,False,False,False
09:51:36.1,False,False,False,False
09:51:36.2,False,False,False,False
09:51:36.3,False,False,False,False
09:51:36.4,False,False,False,False
09:51:36.5,False,False,False,False
09:51:36.6,False,False,False,False
09:51:36.7,False,False,False,False
09:51:36.8,False,False,False,False
09:51:37.0,False,False,False,False
09:51:37.0,False,False,False,False
09:51:37.2,False,False,False,False
09:51:37.3,False,False,False,False
09:51:37.4,False,False,False,False
09:51:37.5,False,False,False,False
09:51:37.6,False,False,False,False
09:51:37.7,False,False,False,False
09:51:37.8,False,False,False,False
09:51:37.9,False,False,False,False
09:51:38.0,False,False,False,False
09:51:38.1,False,False,False,False
09:51:38.2,False,False,False,False
09:51:38.3,False,False,False,False
09:51:38.4,False,False,False,False
09:51:38.5,False,False,False,False
09:51:38.6,False,False,False,False
09:51:38.7,False,False,False,False
09:51:38.8,False,False,False,False
09:51:38.9,False,False,False,False
09:51:39.0,False,False,False,False
09:51:39.1,False,False,False,False
09:51:39.2,False,False,False,False
09:51:39.3,False,False,False,False
09:51:39.4,False,False,False,False
09:51:39.5,False,False,False,False
09:51:39.6,False,False,False,False
09:51:39.7,False,False,False,False
09:51:39.8,False,False,False,False
09:51:39.9,False,False,False,False
09:51:40.0,False,False,False,False
09:51:40.1,False,False,False,False
09:51:40.2,False,False,False,False
09:51:40.3,False,False,False,False
09:51:40.4,False,False,False,False
09:51:40.5,False,False,False,False
09:51:40.6,False,False,False,False
09:51:40.7,False,False,False,False
09:51:40.8,False,False,False,False
09:51:40.9,False,False,False,False
09:51:41.0,False,False,False,False
09:51:41.1,False,False,False,False
09:51:41.2,False,False,False,False
09:51:41.3,False,False,False,False
09:51:41.4,False,False,False,False
09:51:41.5,False,False,False,False
09:51:41.6,False,False,False,False
09:51:41.7,False,False,False,False
09:51:41.8,False,False,False,False
09:51:41.9,False,False,False,False
09:51:42.0,False,False,False,False
09:51:42.1,False,False,False,False
09:51:42.2,False,False,False,False
09:51:42.3,False,False,False,False
09:51:42.4,False,False,False,False
09:51:42.5,False,False,False,False
09:51:42.6,False,False,False,False
09:51:42.7,False,False,False,False
09:51:42.8,False,False,False,False
09:51:42.9,False,False,False,False
09:51:43.0,False,False,False,False
09:51:43.1,False,False,False,False
09:51:43.2,False,False,False,False
09:51:43.3,False,False,False,False
09:51:43.4,False,False,False,False
