time,down,right,up,left
14:16:02.5,False,False,False,False
14:16:02.6,False,False,False,False
14:16:02.7,False,False,False,False
14:16:02.8,False,False,False,False
14:16:03.0,False,False,False,False
14:16:03.1,False,False,False,False
14:16:03.2,False,False,False,False
14:16:03.3,False,False,False,False
14:16:03.4,False,False,False,False
14:16:03.5,False,False,False,False
14:16:03.6,False,False,False,False
14:16:03.7,False,False,False,False
14:16:03.8,False,False,False,False
14:16:03.9,False,False,False,False
14:16:04.0,False,False,False,False
14:16:04.1,False,False,False,False
14:16:04.2,False,False,False,False
14:16:04.3,False,False,False,False
14:16:04.4,False,False,False,False
14:16:04.5,False,False,False,False
14:16:04.6,False,False,False,False
14:16:04.7,False,False,False,False
14:16:04.8,False,False,False,False
14:16:04.9,False,False,False,False
14:16:05.0,False,False,False,False
14:16:05.1,False,False,False,False
14:16:05.2,False,False,False,False
14:16:05.3,False,False,False,False
14:16:05.4,False,False,False,False
14:16:05.5,False,False,False,False
14:16:05.6,False,False,False,False
14:16:05.7,False,False,False,False
14:16:05.8,False,False,False,False
14:16:05.9,False,False,False,False
14:16:06.0,False,False,False,False
14:16:06.1,False,False,False,False
14:16:06.2,False,False,False,False
14:16:06.3,False,False,False,False
14:16:06.4,False,False,False,False
14:16:06.5,False,False,False,False
14:16:06.6,False,False,False,False
14:16:06.7,False,False,False,False
14:16:06.8,False,False,False,False
14:16:06.9,False,False,False,False
14:16:07.0,False,False,False,False
14:16:07.1,False,False,False,False
14:16:07.2,False,False,False,False
14:16:07.3,False,False,False,False
14:16:07.4,False,False,False,False
14:16:07.5,False,False,False,False
14:16:07.6,False,False,False,False
14:16:07.7,False,False,False,False
14:16:07.8,False,False,False,False
14:16:08.1,False,False,False,False
14:16:08.2,False,False,False,False
14:16:08.3,False,False,False,False
14:16:08.4,False,False,False,False
14:16:08.5,False,False,False,False
14:16:08.6,False,False,False,False
14:16:08.7,False,False,False,False
14:16:08.8,False,False,False,False
14:16:08.9,False,False,False,False
14:16:09.0,False,False,False,False
14:16:09.1,False,False,False,False
14:16:09.2,False,False,False,False
14:16:09.3,False,False,False,False
14:16:09.4,False,False,False,False
14:16:09.5,False,False,False,False
14:16:09.6,False,False,False,False
14:16:09.7,False,False,False,False
14:16:09.8,False,False,False,False
14:16:09.9,False,False,False,False
14:16:10.0,False,False,False,False
14:16:10.1,False,False,False,False
14:16:10.2,False,False,False,False
14:16:10.3,False,False,False,False
14:16:10.4,False,False,False,False
14:16:10.5,False,False,False,False
14:16:10.6,False,False,False,False
14:16:10.7,False,False,False,False
14:16:10.8,False,False,False,False
14:16:10.9,False,False,False,False
14:16:11.0,False,False,False,False
14:16:11.1,False,False,False,False
14:16:11.2,False,False,False,False
14:16:11.3,False,False,False,False
14:16:11.4,False,False,False,False
14:16:11.5,False,False,False,False
14:16:11.6,False,False,False,False
14:16:11.7,False,False,False,False
14:16:11.8,False,False,False,False
14:16:11.9,False,False,False,False
14:16:12.0,False,False,False,False
14:16:12.1,False,False,False,False
14:16:12.2,False,False,False,False
14:16:12.3,False,False,False,False
14:16:12.4,False,False,False,False
14:16:12.5,False,False,False,False
14:16:12.6,False,False,False,False
14:16:12.7,False,False,False,False
14:16:12.8,False,False,False,False
14:16:12.9,False,False,False,False
14:16:13.0,False,False,False,False
14:16:13.1,False,False,False,False
14:16:13.2,False,False,False,False
14:16:13.3,False,False,False,False
14:16:13.4,False,False,False,False
14:16:13.5,False,False,False,False
14:16:13.6,False,False,False,False
14:16:13.7,False,False,False,False
14:16:13.8,False,False,False,False
14:16:13.9,False,False,False,False
14:16:14.0,False,False,False,False
14:16:14.1,False,False,False,False
14:16:14.2,False,False,False,False
14:16:14.3,False,False,False,False
14:16:14.4,False,False,False,False
14:16:14.5,False,False,False,False
14:16:14.6,False,False,False,False
14:16:14.7,False,False,False,False
14:16:14.8,False,False,False,False
14:16:14.9,False,False,False,False
14:16:15.0,False,False,False,False
14:16:15.1,False,False,False,False
14:16:15.2,False,False,False,False
14:16:15.3,False,False,False,False
14:16:15.4,False,False,False,False
14:16:15.5,False,False,False,False
14:16:15.6,False,False,False,False
14:16:15.7,False,False,False,False
14:16:15.8,False,False,False,False
14:16:15.9,False,False,False,False
14:16:16.0,False,False,False,False
14:16:16.1,False,False,False,False
14:16:16.2,False,False,False,False
14:16:16.3,False,False,False,False
14:16:16.4,False,False,False,False
14:16:16.5,False,False,False,False
14:16:16.6,False,False,False,False
14:16:16.7,False,False,False,False
14:16:16.8,False,False,False,False
14:16:16.9,False,False,False,False
14:16:17.0,False,False,False,False
14:16:17.1,False,False,False,False
14:16:17.2,False,False,False,False
14:16:17.3,False,False,False,False
14:16:17.4,False,False,False,False
14:16:17.5,False,False,False,False
14:16:17.6,False,False,False,False
14:16:17.7,False,False,False,False
14:16:17.8,False,False,False,False
14:16:17.9,False,False,False,False
14:16:18.0,False,False,False,False
14:16:18.1,False,False,False,False
14:16:18.2,False,False,False,False
14:16:18.3,False,False,False,False
14:16:18.4,False,False,False,False
14:16:18.5,False,False,False,False
14:16:18.6,False,False,False,False
14:16:18.7,False,False,False,False
14:16:18.8,False,False,False,False
14:16:18.9,False,False,False,False
14:16:19.0,False,False,False,False
14:16:19.1,False,False,False,False
14:16:19.3,False,False,False,False
14:16:19.3,False,False,False,False
14:16:19.5,False,False,False,False
14:16:19.6,False,False,False,False
14:16:19.7,False,False,False,False
14:16:19.8,False,False,False,False
14:16:19.9,False,False,False,False
14:16:20.0,False,False,False,False
14:16:20.1,False,False,False,False
14:16:20.2,False,False,False,False
14:16:20.3,False,False,False,False
14:16:20.4,False,False,False,False
14:16:20.5,False,False,False,False
14:16:20.6,False,False,False,False
14:16:20.7,False,False,False,False
14:16:20.8,False,False,False,False
14:16:20.9,False,False,False,False
14:16:21.0,False,False,False,False
14:16:21.1,False,False,False,False
