time,down,right,up,left
15:56:32.7,False,False,False,False
15:56:32.8,False,False,False,False
15:56:32.9,False,False,False,False
15:56:33.0,False,False,False,False
15:56:33.1,False,False,False,False
15:56:33.2,False,False,False,False
15:56:33.3,False,False,False,False
15:56:33.4,False,False,False,False
15:56:33.5,False,False,False,False
15:56:33.6,False,False,False,False
15:56:33.7,False,False,False,False
15:56:33.8,False,False,False,False
15:56:33.9,False,False,False,False
15:56:34.0,False,False,False,False
15:56:34.1,False,False,False,False
15:56:34.2,False,False,False,False
15:56:34.3,False,False,False,False
15:56:34.4,False,False,False,False
15:56:34.6,False,False,False,False
15:56:34.7,False,False,False,False
15:56:34.8,False,False,False,False
15:56:34.9,False,False,False,False
15:56:35.0,False,False,False,False
15:56:35.1,False,False,False,False
15:56:35.2,False,False,False,False
