time,s0,s1,s2,s3,w01,w02,w03,w10,w12,w13,w20,w21,w23,w30,w31,w32
09:49:56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:49:59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:00.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:00.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:01.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:01.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:02.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:02.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:02.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:03.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:03.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:04.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:04.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:04.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:05.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:05.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:06.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:06.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:06.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:07.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:07.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:08.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:08.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:08.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:09.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:09.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:58.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:50:59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:00.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:00.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:00.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:01.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:01.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:02.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:02.6,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
09:51:03.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
09:51:03.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:03.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:04.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:04.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:05.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:05.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:05.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:06.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:06.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:07.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:07.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:07.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:08.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:08.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:09.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:09.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:09.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
