time,down,right,up,left
09:49:56.3,False,False,False,False
09:49:56.4,False,False,False,False
09:49:56.5,False,False,False,False
09:49:56.6,False,False,False,False
09:49:56.7,False,False,False,False
09:49:56.8,False,False,False,False
09:49:56.9,False,False,False,False
09:49:57.0,False,False,False,False
09:49:57.1,False,False,False,False
09:49:57.2,False,False,False,False
09:49:57.3,False,False,False,False
09:49:57.4,False,False,False,False
09:49:57.5,False,False,False,False
09:49:57.6,False,False,False,False
09:49:57.7,False,False,False,False
09:49:57.8,False,False,False,False
09:49:57.9,False,False,False,False
09:49:58.0,False,False,False,False
09:49:58.1,False,False,False,False
09:49:58.2,False,False,False,False
09:49:58.3,False,False,False,False
09:49:58.4,False,False,False,False
09:49:58.5,False,False,False,False
09:49:58.6,False,False,False,False
09:49:58.7,False,False,False,False
09:49:58.8,False,False,False,False
09:49:58.9,False,False,False,False
09:49:59.0,False,False,False,False
09:49:59.1,False,False,False,False
09:49:59.2,False,False,False,False
09:49:59.3,False,False,False,False
09:49:59.4,False,False,False,False
09:49:59.5,False,False,False,False
09:49:59.6,False,False,False,False
09:49:59.7,False,False,False,False
09:49:59.8,False,False,False,False
09:49:59.9,False,False,False,False
09:50:00.0,False,False,False,False
09:50:00.1,False,False,False,False
09:50:00.2,False,False,False,False
09:50:00.3,False,False,False,False
09:50:00.4,False,False,False,False
09:50:00.5,False,False,False,False
09:50:00.6,False,False,False,False
09:50:00.7,False,False,False,False
09:50:00.8,False,False,False,False
09:50:00.9,False,False,False,False
09:50:01.0,False,False,False,False
09:50:01.1,False,False,False,False
09:50:01.3,False,False,False,False
09:50:01.4,False,False,False,False
09:50:01.5,False,False,False,False
09:50:01.6,False,False,False,False
09:50:01.7,False,False,False,False
09:50:01.8,False,False,False,False
09:50:01.9,False,False,False,False
09:50:02.0,False,False,False,False
09:50:02.1,False,False,False,False
09:50:02.2,False,False,False,False
09:50:02.3,False,False,False,False
09:50:02.4,False,False,False,False
09:50:02.5,False,False,False,False
09:50:02.6,False,False,False,False
09:50:02.7,False,False,False,False
09:50:02.8,False,False,False,False
09:50:02.9,False,False,False,False
09:50:03.0,False,False,False,False
09:50:03.1,False,False,False,False
09:50:03.2,False,False,False,False
09:50:03.3,False,False,False,False
09:50:03.4,False,False,False,False
09:50:03.5,False,False,False,False
09:50:03.6,False,False,False,False
09:50:03.7,False,False,False,False
09:50:03.8,False,False,False,False
09:50:03.9,False,False,False,False
09:50:04.0,False,False,False,False
09:50:04.1,False,False,False,False
09:50:04.2,False,False,False,False
09:50:04.3,False,False,False,False
09:50:04.4,False,False,False,False
09:50:04.5,False,False,False,False
09:50:04.6,False,False,False,False
09:50:04.7,False,False,False,False
09:50:04.8,False,False,False,False
09:50:04.9,False,False,False,False
09:50:05.0,False,False,False,False
09:50:05.1,False,False,False,False
09:50:05.2,False,False,False,False
09:50:05.3,False,False,False,False
09:50:05.4,False,False,False,False
09:50:05.5,False,False,False,False
09:50:05.6,False,False,False,False
09:50:05.7,False,False,False,False
09:50:05.8,False,False,False,False
09:50:05.9,False,False,False,False
09:50:06.0,False,False,False,False
09:50:06.2,False,False,False,False
09:50:06.3,False,False,False,False
09:50:06.4,False,False,False,False
09:50:06.5,False,False,False,False
09:50:06.6,False,False,False,False
09:50:06.7,False,False,False,False
09:50:06.8,False,False,False,False
09:50:06.9,False,False,False,False
09:50:07.0,False,False,False,False
09:50:07.1,False,False,False,False
09:50:07.2,False,False,False,False
09:50:07.3,False,False,False,False
09:50:07.4,False,False,False,False
09:50:07.5,False,False,False,False
09:50:07.6,False,False,False,False
09:50:07.7,False,False,False,False
09:50:07.8,False,False,False,False
09:50:07.9,False,False,False,False
09:50:08.0,False,False,False,False
09:50:08.1,False,False,False,False
09:50:08.2,False,False,False,False
09:50:08.3,False,False,False,False
09:50:08.4,False,False,False,False
09:50:08.5,False,False,False,False
09:50:08.6,False,False,False,False
09:50:08.7,False,False,False,False
09:50:08.8,False,False,False,False
09:50:08.9,False,False,False,False
09:50:09.0,False,False,False,False
09:50:09.1,False,False,False,False
09:50:09.2,False,False,False,False
09:50:09.3,False,False,False,False
09:50:09.4,False,False,False,False
09:50:09.5,False,False,False,False
09:50:09.6,False,False,False,False
09:50:09.7,False,False,False,False
09:50:09.8,False,False,False,False
09:50:09.9,False,False,False,False
09:50:10.0,False,False,False,False
09:50:10.1,False,False,False,False
09:50:10.2,False,False,False,False
09:50:10.3,False,False,False,False
09:50:10.4,False,False,False,False
09:50:10.5,False,False,False,False
09:50:10.6,False,False,False,False
09:50:10.7,False,False,False,False
09:50:10.8,False,False,False,False
09:50:10.9,False,False,False,False
09:50:11.0,False,False,False,False
09:50:11.1,False,False,False,False
09:50:11.2,False,False,False,False
09:50:11.3,False,False,False,False
09:50:11.4,False,False,False,False
09:50:11.5,False,False,False,False
09:50:11.6,False,False,False,False
09:50:11.7,False,False,False,False
09:50:11.8,False,False,False,False
09:50:11.9,False,False,False,False
09:50:12.0,False,False,False,False
09:50:12.1,False,False,False,False
09:50:12.2,False,False,False,False
09:50:12.3,False,False,False,False
09:50:12.4,False,False,False,False
09:50:12.5,False,False,False,False
09:50:12.6,False,False,False,False
09:50:12.7,False,False,False,False
09:50:12.8,False,False,False,False
09:50:12.9,False,False,False,False
09:50:13.0,False,False,False,False
09:50:13.1,False,False,False,False
09:50:13.2,False,False,False,False
09:50:13.3,False,False,False,False
09:50:13.4,False,False,False,False
09:50:13.5,False,False,False,False
09:50:13.6,False,False,False,False
09:50:13.7,False,False,False,False
09:50:13.8,False,False,False,False
09:50:13.9,False,False,False,False
09:50:14.0,False,False,False,False
09:50:14.1,False,False,False,False
09:50:14.2,False,False,False,False
09:50:14.3,False,False,False,False
09:50:14.4,False,False,False,False
09:50:14.5,False,False,False,False
09:50:14.6,False,False,False,False
09:50:14.7,False,False,False,False
09:50:14.8,False,False,False,False
09:50:14.9,False,False,False,False
09:50:15.0,False,False,False,False
09:50:15.1,False,False,False,False
09:50:15.2,False,False,False,False
09:50:15.3,False,False,False,False
09:50:15.4,False,False,False,False
09:50:15.5,False,False,False,False
09:50:15.6,False,False,False,False
09:50:15.7,False,False,False,False
09:50:15.8,False,False,False,False
09:50:15.9,False,False,False,False
09:50:16.0,False,False,False,False
09:50:16.1,False,False,False,False
09:50:16.2,False,False,False,False
09:50:16.3,False,False,False,False
09:50:16.4,False,False,False,False
09:50:16.5,False,False,False,False
09:50:16.6,False,False,False,False
09:50:16.7,False,False,False,False
09:50:16.8,False,False,False,False
09:50:16.9,False,False,False,False
09:50:17.0,False,False,False,False
09:50:17.1,False,False,False,False
09:50:17.3,False,False,False,False
09:50:17.4,False,False,False,False
09:50:17.5,False,False,False,False
09:50:17.6,False,False,False,False
09:50:17.7,False,False,False,False
09:50:17.8,False,False,False,False
09:50:17.9,False,False,False,False
09:50:18.0,False,False,False,False
09:50:18.1,False,False,False,False
09:50:18.2,False,False,False,False
09:50:18.3,False,False,False,False
09:50:18.4,False,False,False,False
09:50:18.5,False,False,False,False
09:50:18.6,False,False,False,False
09:50:18.7,False,False,False,False
09:50:18.8,False,False,False,False
09:50:18.9,False,False,False,False
09:50:19.0,False,False,False,False
